date,chirps_lag1d_mm,chirps_lag2d_mm,chirps_lag3d_mm,chirps_roll3d_mm,chirps_roll7d_mm,chirps_roll14d_mm,chirps_roll30d_mm,chirps_rainy_days_7d,chirps_rainy_days_30d,chirps_max3d_mm,chirps_max7d_mm,chirps_api,chirps_month_mean_mm,chirps_month_std_mm,chirps_anomaly,chirps_wet_spell_len,chirps_dry_spell_len
1981-01-01,,,,,,,,,,,,,0.0023012397938824633,0.03167162505618588,,,
1981-01-02,0.0,,,,,,,,,,,0.0,0.0023012397938824633,0.03167162505618588,-0.0023012397938824633,0.0,1.0
1981-01-03,0.1969384104013443,0.0,,,,,,,,,,0.1969384104013443,0.0023012397938824633,0.03167162505618588,0.19463717060746183,1.0,0.0
1981-01-04,0.0,0.1969384104013443,0.0,0.1969384104013443,,,,,,0.1969384104013443,,0.16739764884114264,0.0023012397938824633,0.03167162505618588,-0.0023012397938824633,0.0,1.0
1981-01-05,0.0,0.0,0.1969384104013443,0.1969384104013443,,,,,,0.1969384104013443,,0.14228800151497123,0.0023012397938824633,0.03167162505618588,-0.0023012397938824633,0.0,2.0
1981-01-06,0.0,0.0,0.0,0.0,,,,,,0.0,,0.12094480128772554,0.0023012397938824633,0.03167162505618588,-0.0023012397938824633,0.0,3.0
1981-01-07,0.0,0.0,0.0,0.0,,,,1.0,,0.0,,0.1028030810945667,0.0023012397938824633,0.03167162505618588,-0.0023012397938824633,0.0,4.0
1981-01-08,0.0,0.0,0.0,0.0,0.1969384104013443,,,1.0,,0.0,0.1969384104013443,0.0873826189303817,0.0023012397938824633,0.03167162505618588,-0.0023012397938824633,0.0,5.0
1981-01-09,0.0,0.0,0.0,0.0,0.1969384104013443,,,1.0,,0.0,0.1969384104013443,0.07427522609082444,0.0023012397938824633,0.03167162505618588,-0.0023012397938824633,0.0,6.0
1981-01-10,0.0,0.0,0.0,0.0,0.0,,,0.0,,0.0,0.0,0.06313394217720078,0.0023012397938824633,0.03167162505618588,-0.0023012397938824633,0.0,7.0
1981-01-11,0.0,0.0,0.0,0.0,0.0,,,0.0,,0.0,0.0,0.05366385085062066,0.0023012397938824633,0.03167162505618588,-0.0023012397938824633,0.0,8.0
