timestamp,horizon,roc_auc,pr_auc,positive_rate
2026-02-22T18:44:17.461952,D_next_6h,0.9177786458432741,0.8178238149864884,0.3181533557238003
2026-02-22T21:03:58.979581,D_next_6h,0.9177786458432741,0.8178238149864884,0.3181533557238003
2026-02-22T21:22:55.483029,D_next_6h,0.9177786458432741,0.8178238149864884,0.3181533557238003
2026-02-23T04:25:35.778027,D_next_6h,0.9123995587798565,0.8038352248105812,0.3186288442953783
2026-02-27T22:20:45.846153,D_next_6h,0.9002947231543024,0.752846885547577,0.31689941765138235
2026-03-01T04:23:08.925001,D_next_6h,0.907978021477976,0.7716767479211202,0.31604172540174796
2026-03-03T04:15:23.490608,D_next_6h,0.9022439585730725,0.7474075247639171,0.31552606421863577
2026-03-05T04:12:58.047354,D_next_6h,0.9133175119090612,0.7853821758741213,0.3155179182322921
2026-03-07T04:01:57.911562,D_next_6h,0.9102901707403315,0.7726276106189015,0.31511829520666707
2026-03-08T10:42:06.016659,D_next_6h,0.9090116749134892,0.7743087538581023,0.3150310003909959
2026-03-08T10:42:23.416918,D_next_6h,0.9086152730229571,0.7740517546140401,0.3150310003909959
2026-03-08T10:42:40.683370,D_next_6h,0.9086152730229571,0.7740517546140401,0.3150310003909959
2026-03-08T11:03:06.010940,D_next_6h,0.8759603967714961,0.7438264598150399,0.3150310003909959
